subject,age,gender,educ,ses,engL1,answer,rating,condition,task,play_type,explanation
263,32,m,Four-year college degree,In the middle,"Yes, English is my first language.",When workers at the aquarium looked on Inky's computer they discovered that he had accepted a job posted on craigslist predicting soccer matches in Las Vegas. It is unclear if the job posters disclosed that Vegas is located in a desert.,more,Metaphor,Inky the Octopus,compare,other octopus
278,51,f,Master's or equivalent professional degree,Near the bottom,"Yes, English is my first language.","As goes the tidy bowl man, so goes Inky out to sea.",more,Sarcasm,Inky the Octopus,compare,flushing down toilet
279,37,m,Four-year college degree,Near the top,"Yes, English is my first language.","Ice Ice Baby?  Not so fast, Starbucks.  Too much ice equals too little product according to a lawsuit filed by a Chicago woman.",more,Sarcasm,Starbucks Ice,compare,she is vanilla ice
282,54,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",octopus is escape artist,more,Sarcasm,Inky the Octopus,compare,escape artist
284,42,m,Completed High School,In the middle,"Yes, English is my first language.","Well, I guess Inky slinked out of the clink!",more,Sarcasm,Inky the Octopus,wp & compare,rhyming based on prisoner
288,37,f,Four-year college degree,Near the bottom,"Yes, English is my first language.","Starbucks is selling igloos instead of drinks-beware, or you could turn into a penguin!",more,Sarcasm,Starbucks Ice,compare,igloo / penguin
304,28,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",She doesn't know that Starbucks only uses the most premium ice.,more,Sarcasm,Starbucks Ice,NA,NA
313,39,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",Maybe the woman should account for the fact that ice does indeed turn to water which is a liquid last I checked.,more,Sarcasm,Starbucks Ice,irony,sarcasm
316,39,f,Completed High School,In the middle,"Yes, English is my first language.",Is this guy a Magician in Training?,equal,Sarcasm & Metaphor,Inky the Octopus,compare,magician
319,28,m,Four-year college degree,In the middle,"Yes, English is my first language.",Everyone is a mathematician these days it seems.,more,Sarcasm,Starbucks Ice,irony,sarcasm
324,49,f,Four-year college degree,In the middle,"Yes, English is my first language.","Wow, Inky is one slippery little fella",equal,Baseline,Inky the Octopus,wp,slippery
331,48,f,Four-year college degree,In the middle,"Yes, English is my first language.","Obviously, someone living in Chicago would not want a lot of ice.",more,Sarcasm & Metaphor,Starbucks Ice,irony,hyperbole
338,47,f,Two-year college degree,In the middle,"Yes, English is my first language.",Coming soon to Disney... Finding Inky!,more,Baseline,Inky the Octopus,compare,finding nemo
339,36,m,Master's or equivalent professional degree,Near the bottom,"Yes, English is my first language.",It seems that you can't keep a good mollusk down.,equal,Baseline,Inky the Octopus,wp,can't keep a good guy down
381,34,m,Two-year college degree,In the middle,"Yes, English is my first language.",Sounds like this Octopus made a slippery escape!,more,Sarcasm,Inky the Octopus,wp,slippery
382,35,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",In Chicago a woman is seeking $5 million for Starbucks' failure to explain what we all learned in grade school science: ice takes up space.,more,Sarcasm & Metaphor,Starbucks Ice,irony,sarcasm
386,47,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Now if I could just sue McDonald's for the amount of hair in my Big Macs.,more,Sarcasm & Metaphor,Starbucks Ice,irony,hyperbole
394,31,f,Completed High School,In the middle,"Yes, English is my first language.",This escape artist sounds like he's watched too much Finding Dory.,more,Sarcasm,Inky the Octopus,compare,escape artist
402,35,m,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",That's why Aquariums/Zoos should be viewed as prisons for animals.,equal,Sarcasm & Metaphor,Inky the Octopus,compare,prisoner
404,34,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",IT looks like Our lovely Inky the Octopus is Heading out to sea after a successful Jailbreak from the Aquarium.,more,Sarcasm & Metaphor,Inky the Octopus,compare,prisoner
414,21,m,Two-year college degree,In the middle,"Yes, English is my first language.",This sounds like a sticky situation.,more,Sarcasm & Metaphor,Inky the Octopus,wp,sticky
421,53,m,Four-year college degree,In the middle,"Yes, English is my first language.",Its not nice to give people so much ice.,more,Sarcasm & Metaphor,Starbucks Ice,wp,nice/ice
423,58,m,Two-year college degree,Near the bottom,"Yes, English is my first language.","Coffee, coffee -- everywhere: but nothing else to drink!",more,Sarcasm & Metaphor,Starbucks Ice,wp,water water everywhere
1,25,m,Completed High School,In the middle,"Yes, English is my first language.","Omg, I can't believe starbuck has been lying to us this whole time.. #starbucksisaphony",more,Baseline,Starbucks Ice,NA,NA
1,25,m,Completed High School,In the middle,"Yes, English is my first language.",5 inches! that's insane!!,less,Baseline,Inky the Octopus,NA,NA
2,29,m,Four-year college degree,In the middle,"Yes, English is my first language.","That's insane, well I good for Inky.",equal,Baseline,Inky the Octopus,NA,NA
2,29,m,Four-year college degree,In the middle,"Yes, English is my first language.","Good for her, it's a total ripoff.",equal,Baseline,Starbucks Ice,NA,NA
3,39,m,Completed High School,Near the bottom,"Yes, English is my first language.","You heard it folks, Inky is on the loose!",less,Baseline,Inky the Octopus,NA,NA
3,39,m,Completed High School,Near the bottom,"Yes, English is my first language.",Now there's a woman who likes her drinks icy cold.,more,Baseline,Starbucks Ice,irony,sarcasm
4,71,f,Master's or equivalent professional degree,Near the bottom,"Yes, English is my first language.",We'll keep you informed about the verdict on this law suit.,equal,Baseline,Starbucks Ice,NA,NA
4,71,f,Master's or equivalent professional degree,Near the bottom,"Yes, English is my first language.",Octopuses are known to squeeze into very small holes.,less,Baseline,Inky the Octopus,NA,NA
5,34,m,Completed High School,In the middle,"Yes, English is my first language.",I knew Starbucks was expensive but that seems excessive for a refund.,more,Baseline,Starbucks Ice,NA,NA
5,34,m,Completed High School,In the middle,"Yes, English is my first language.",Marlin should have recruited Inky the Octopus instead of Dory the Blue Tang to find his Son.,more,Baseline,Inky the Octopus,compare,finding nemo
6,28,m,Two-year college degree,In the middle,"Yes, English is my first language.",Can you believe a Chicago woman has filed a 5 million dollar lawsuit against Starbucks?!,equal,Baseline,Starbucks Ice,NA,NA
6,28,m,Two-year college degree,In the middle,"Yes, English is my first language.",I think it's crazy!,less,Baseline,Inky the Octopus,NA,NA
7,57,f,Completed High School,In the middle,"Yes, English is my first language.",What an escape artist!,equal,Baseline,Inky the Octopus,compare,escape artist
7,57,f,Completed High School,In the middle,"Yes, English is my first language.",Maybe she should have waited for her ice to melt.,more,Baseline,Starbucks Ice,NA,NA
8,36,f,Four-year college degree,In the middle,"Yes, English is my first language.",Starbucks issues,equal,Baseline,Starbucks Ice,NA,NA
8,36,f,Four-year college degree,In the middle,"Yes, English is my first language.",The great escape,more,Baseline,Inky the Octopus,compare,prisoner
9,32,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",I hope they are able to locate Inky and bring him back to the aquarium.,equal,Baseline,Inky the Octopus,NA,NA
9,32,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",People like to sue for any reason.,equal,Baseline,Starbucks Ice,NA,NA
10,65,m,Completed High School,Near the bottom,"Yes, English is my first language.","Well, folks , here we have another example of a person overreacting and using the courts and legal system to make a point about something trivial!",more,Baseline,Starbucks Ice,NA,NA
10,65,m,Completed High School,Near the bottom,"Yes, English is my first language.","Inky , a supposed simple animal has shown that he is smart and able to figure out solutions-not such a dumb animal, is he?",more,Baseline,Inky the Octopus,NA,NA
11,26,m,Four-year college degree,In the middle,"Yes, English is my first language.",It did what all ads are supposed to do: mislead,more,Baseline,Starbucks Ice,NA,NA
11,26,m,Four-year college degree,In the middle,"Yes, English is my first language.",Inky is one slimy fella,equal,Baseline,Inky the Octopus,NA,NA
12,34,m,Four-year college degree,In the middle,"Yes, English is my first language.",Looks like someone watched Finding Dory.,more,Baseline,Inky the Octopus,compare,finding nemo
12,34,m,Four-year college degree,In the middle,"Yes, English is my first language.",Further reasons why hot coffee is the only coffee.,more,Baseline,Starbucks Ice,NA,NA
15,31,f,Four-year college degree,In the middle,"Yes, English is my first language.","Oh no, where is Inky?",more,Baseline,Inky the Octopus,NA,NA
16,42,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",I am not sure why anyone should get $5 million dollars over this maybe she should just be awarded back her $4 instead.,equal,Baseline,Starbucks Ice,NA,NA
19,26,m,Four-year college degree,In the middle,"Yes, English is my first language.",This is an absolutely bizarre event that New Zealand Aquarium authorities say has never happened before in the aquarium's 52-year history.,more,Baseline,Inky the Octopus,NA,NA
20,41,f,Four-year college degree,Near the top,"Yes, English is my first language.","So, let's find out how an octopus knows how to navigate the drainage pipes to get back to sea.",more,Baseline,Inky the Octopus,NA,NA
20,41,f,Four-year college degree,Near the top,"Yes, English is my first language.","Society has become so litigious, that we are now suing over ice, what's next!",equal,Baseline,Starbucks Ice,NA,NA
21,47,f,Completed High School,In the middle,"Yes, English is my first language.",Does she carry a measuring cup in her purse?,more,Baseline,Starbucks Ice,NA,NA
21,47,f,Completed High School,In the middle,"Yes, English is my first language.",It sounds like the octopus has successfully put its plan into action!,more,Baseline,Inky the Octopus,NA,NA
23,34,f,Four-year college degree,In the middle,"Yes, English is my first language.","Wow, who knew that you could sue someone over ice!",more,Baseline,Starbucks Ice,NA,NA
23,34,f,Four-year college degree,In the middle,"Yes, English is my first language.",Inky where are you hiding?,more,Baseline,Inky the Octopus,NA,NA
24,22,f,Completed High School,On the bottom,"Yes, English is my first language.",Inky just got tired of the aquarium and went out for a swim.,more,Baseline,Inky the Octopus,NA,NA
25,24,m,Completed High School,In the middle,"Yes, English is my first language.",Starbucks might be ripping you off by 10 ounces to be exact.,equal,Baseline,Starbucks Ice,NA,NA
25,24,m,Completed High School,In the middle,"Yes, English is my first language.",The aquarium needs to be more secure.,more,Baseline,Inky the Octopus,NA,NA
26,25,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Only in American can you sue a company for 5 millions dollars for a small mistake like this.,more,Baseline,Starbucks Ice,NA,NA
26,25,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Octopus proves that it is far more intelligent than the humans who have trapped it.,more,Metaphor,Inky the Octopus,NA,NA
27,32,f,Two-year college degree,In the middle,"Yes, English is my first language.",Octopus on the run! Please keep your eyes opened.,more,Metaphor,Inky the Octopus,NA,NA
27,32,f,Two-year college degree,In the middle,"Yes, English is my first language.",Starbucks forgets 10 ounces of liquid in their iced drinks.,more,Baseline,Starbucks Ice,NA,NA
28,34,f,Completed High School,Near the bottom,"Yes, English is my first language.","In other news today, an cctopus in a New Zealand aquarium made a daring attempt to escape his today - and succeeded. The animal managed to open the lid of his tank, slide across the floor, and made his way through a 5 inch wide drainage pipe, and out to the sea.",more,Metaphor,Inky the Octopus,NA,NA
28,34,f,Completed High School,Near the bottom,"Yes, English is my first language.","Coffee chains and fast food restaurants, take heed. A woman in Chicago has filed a $5 million lawsuit against Starbucks, but it's not because she found something strange in her latte. The woman claims that Starbucks used false advertising for one of their iced drinks, stating that they advertise a 24-ounce drink, when in reality they only give you 14 ounces due to the ice.",more,Baseline,Starbucks Ice,NA,NA
29,25,f,Two-year college degree,In the middle,"Yes, English is my first language.","When I think of Starbucks, I think of coffee, not ice cubes! Of course you want to get what you're paying for, right?",more,Baseline,Starbucks Ice,NA,NA
29,25,f,Two-year college degree,In the middle,"Yes, English is my first language.","If an octopus is this imaginative and smart to pull this off, it deserves to be free!",more,Metaphor,Inky the Octopus,NA,NA
30,31,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Doesn't she know that when ice melts it becomes a liquid.,more,Baseline,Starbucks Ice,irony,rhetorical
30,31,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Sounds like a planned out jail break to me.,more,Metaphor,Inky the Octopus,compare,prisoner
31,53,f,Did not complete high school,Near the bottom,"Yes, English is my first language.",Defiant Octopus escapes aquarium seeking asylum with an Orca Pod.,more,Metaphor,Inky the Octopus,compare,prisoner
31,53,f,Did not complete high school,Near the bottom,"Yes, English is my first language.",I'd pour it over her head and guarantee she'd be glad it was only 14 ounces.,more,Baseline,Starbucks Ice,NA,NA
32,36,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",He was really in a hurry to get out of there wasn't he!,equal,Metaphor,Inky the Octopus,NA,NA
33,31,m,Master's or equivalent professional degree,Near the top,"Yes, English is my first language.",hi everyone this is very exciting news to all and should be aware of all these things,equal,Baseline,Starbucks Ice,NA,NA
33,31,m,Master's or equivalent professional degree,Near the top,"Yes, English is my first language.",its a very exciting news he should not do that escaping,equal,Metaphor,Inky the Octopus,NA,NA
35,66,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",Maybe he had a match on his dating app and was on his way to meet her?,more,Metaphor,Inky the Octopus,compare,date
35,66,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",It's hard to argue with the math on that one!,more,Baseline,Starbucks Ice,NA,NA
36,48,f,Completed High School,In the middle,"Yes, English is my first language.",It is an iced drink!  If you don't want ice then don't order ice.,more,Baseline,Starbucks Ice,NA,NA
36,48,f,Completed High School,In the middle,"Yes, English is my first language.",Inky wants to go back home!,equal,Metaphor,Inky the Octopus,NA,NA
38,29,m,Two-year college degree,In the middle,"Yes, English is my first language.",Woman victim of false advertising,more,Baseline,Starbucks Ice,NA,NA
38,29,m,Two-year college degree,In the middle,"Yes, English is my first language.",Inky the runaway octopus,equal,Metaphor,Inky the Octopus,compare,prisoner
39,25,m,Four-year college degree,In the middle,"Yes, English is my first language.","I guess when you want to go home, you want to go home.",more,Metaphor,Inky the Octopus,NA,NA
40,68,f,Completed High School,Near the bottom,"Yes, English is my first language.",If she wins this one we will all be getting a lawyer.,more,Baseline,Starbucks Ice,NA,NA
40,68,f,Completed High School,Near the bottom,"Yes, English is my first language.",I'd say that is one tenacious octopus!,more,Metaphor,Inky the Octopus,NA,NA
41,57,m,Completed High School,Near the bottom,"Yes, English is my first language.",Woman catches Starbucks in false advertising,more,Baseline,Starbucks Ice,NA,NA
41,57,m,Completed High School,Near the bottom,"Yes, English is my first language.",Octopus on the Loose!,more,Metaphor,Inky the Octopus,NA,NA
43,33,f,Four-year college degree,On the bottom,"Yes, English is my first language.","Oh Lord, why doesn't this surprise me?",equal,Baseline,Starbucks Ice,NA,NA
43,33,f,Four-year college degree,On the bottom,"Yes, English is my first language.",What did he think he was going to do once he escaped?,more,Metaphor,Inky the Octopus,NA,NA
44,43,m,Completed High School,In the middle,"Yes, English is my first language.",Octopus escapes and is at large.,less,Metaphor,Inky the Octopus,compare,prisoner
45,35,m,Completed High School,Near the bottom,"Yes, English is my first language.",This woman is looking to make some lawyer rich!,more,Baseline,Starbucks Ice,NA,NA
46,27,f,Four-year college degree,In the middle,"Yes, English is my first language.",A Chicago woman is suing Starbucks for $5 million dollars for putting too much ice in drinks.,more,Baseline,Starbucks Ice,NA,NA
46,27,f,Four-year college degree,In the middle,"Yes, English is my first language.",I think that Octopus is on its way to find its friend Dory.,more,Metaphor,Inky the Octopus,compare,finding nemo
47,39,f,Two-year college degree,Near the bottom,"Yes, English is my first language.","Hey all you Starbucks drinkers every wonder if you are getting cheated in your ounces, well you may be!
",more,Baseline,Starbucks Ice,NA,NA
47,39,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",Inky the Octopus got away the same way we would all somedays out to sea.,equal,Metaphor,Inky the Octopus,NA,NA
48,58,m,Completed High School,Near the bottom,"Yes, English is my first language.","It will be interesting to see how this lands up!  Especially when you concider that when the ice is put in the glass, it always becomes more full due to the weight of the frozen water.",equal,Baseline,Starbucks Ice,NA,NA
49,44,m,Two-year college degree,In the middle,"Yes, English is my first language.",No wonder why I am not as awake as i used to be.,more,Baseline,Starbucks Ice,NA,NA
50,41,f,Four-year college degree,Near the top,"Yes, English is my first language.",Must have been one long and thing octupus to squeeze through a pipe.,less,Metaphor,Inky the Octopus,NA,NA
50,41,f,Four-year college degree,Near the top,"Yes, English is my first language.",Did she forget to weight the ice?,equal,Baseline,Starbucks Ice,irony,rhetorical
51,54,m,Completed High School,In the middle,"Yes, English is my first language.","Ladies and Gentlemen you won't believe this, a octopus escaped from the national aquarium in New Zealand, gross me out.",less,Metaphor,Inky the Octopus,NA,NA
51,54,m,Completed High School,In the middle,"Yes, English is my first language.","Can you believe this, a lady in chicago is filing a $5 million dollar lawsuit against starbucks over a drink allegedly not have enough ice in it.",equal,Baseline,Starbucks Ice,NA,NA
52,34,f,Four-year college degree,In the middle,"Yes, English is my first language.",Wow! What a sticky situation to be in. Sounds like Inky slithered to freedom! I hope he's okay.,more,Sarcasm,Inky the Octopus,wp,sticky
52,34,f,Four-year college degree,In the middle,"Yes, English is my first language.","Too much ice can ruin a drink. I'm all for this woman, although I think she has too much time on her hands.",more,Baseline,Starbucks Ice,NA,NA
53,26,m,Four-year college degree,In the middle,"Yes, English is my first language.","This lawsuite is false we provide 24 ounces to every customer who purchases a drink from us , we do apologize you feel you have not bought the correct cup.",more,Baseline,Starbucks Ice,NA,NA
53,26,m,Four-year college degree,In the middle,"Yes, English is my first language.",This octopus has talent.,less,Sarcasm,Inky the Octopus,NA,NA
54,30,m,Four-year college degree,Near the bottom,"No, English is not my first language.","This is one smart octopus, let me tell you.",equal,Sarcasm,Inky the Octopus,NA,NA
55,28,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",I think the aquarium staff shouldn't have been showing Finding Nemo to the animals.,more,Sarcasm,Inky the Octopus,compare,finding nemo
55,28,f,Four-year college degree,Near the bottom,"Yes, English is my first language.","If she wins the lawsuit, she can buy 7 frappuccinos with her winnings.",more,Baseline,Starbucks Ice,irony,hyperbole
56,54,m,Two-year college degree,Near the bottom,"Yes, English is my first language.","Ice is just frozen liquid, so she's getting what she wanted and what she paid for.",more,Baseline,Starbucks Ice,NA,NA
57,25,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",I think that coffee is going to cost a whole lot more now.,more,Baseline,Starbucks Ice,NA,NA
57,25,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",That octopus obviously saw Finding Nemo.,more,Sarcasm,Inky the Octopus,compare,finding nemo
58,26,m,Four-year college degree,Near the top,"Yes, English is my first language.",That is one slippery octopus.,more,Sarcasm,Inky the Octopus,wp,slippery
58,26,m,Four-year college degree,Near the top,"Yes, English is my first language.",Time to clamp down on big corporations penny pinching on regular consumers.,more,Baseline,Starbucks Ice,NA,NA
59,29,f,Four-year college degree,In the middle,"No, English is not my first language.",She will be able to buy many 24-ounced iceless drinks with those 5million!,more,Baseline,Starbucks Ice,NA,NA
60,41,f,Four-year college degree,In the middle,"Yes, English is my first language.","Wow, I think that that is one expensive cup of coffee!",more,Baseline,Starbucks Ice,NA,NA
60,41,f,Four-year college degree,In the middle,"Yes, English is my first language.",Reminds me of Finding Dory or Escaping Alcatraz.,equal,Sarcasm,Inky the Octopus,compare,finding nemo
61,43,m,Four-year college degree,In the middle,"Yes, English is my first language.",There was a sticky situation at the New Zealand Aquarium today as Inky the Octopus is believed to have escaped back to the ocean.,more,Sarcasm,Inky the Octopus,wp,sticky
61,43,m,Four-year college degree,In the middle,"Yes, English is my first language.",A Chicago Woman is calling fraud on Starbucks for selling 24 ounce drinks while only giving customers 14 ounces of coffee.,equal,Baseline,Starbucks Ice,NA,NA
63,46,f,Four-year college degree,Near the top,"Yes, English is my first language.",The aquarium has expressed regret about their recent screening of Finding Dory in the Octopus room.,more,Sarcasm,Inky the Octopus,compare,finding nemo
64,46,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Have you seen Inky the octopus? Inky has escaped the national aquarium of New Zealand and is suspected to have returned to the sea.,more,Sarcasm,Inky the Octopus,NA,NA
64,46,m,Four-year college degree,Near the bottom,"Yes, English is my first language.","Women files a $5 million lawsuit, contending she received the wrong amount of ice.",more,Baseline,Starbucks Ice,NA,NA
65,39,m,Completed High School,Near the bottom,"Yes, English is my first language.",Loving Octopus escapes and may wreck havoc in the national aquarium if not found.,more,Sarcasm,Inky the Octopus,NA,NA
65,39,m,Completed High School,Near the bottom,"Yes, English is my first language.",Starbucks being sued by crazy woman who is making claims of ounces in her drink,more,Baseline,Starbucks Ice,NA,NA
66,34,m,Two-year college degree,Near the bottom,"No, English is not my first language.",An unbelievable escape of Inky the Octopus is comparable to a James Bond movie everyone's talking about and trending on Twitter.,equal,Sarcasm,Inky the Octopus,compare,bond
66,34,m,Two-year college degree,Near the bottom,"No, English is not my first language.",A woman filed a lawsuit against Starbucks Corporation is making headlines over false advertising.,more,Baseline,Starbucks Ice,NA,NA
67,35,m,Master's or equivalent professional degree,Near the top,"Yes, English is my first language.",I can not believe people are this ignorant.,equal,Baseline,Starbucks Ice,NA,NA
67,35,m,Master's or equivalent professional degree,Near the top,"Yes, English is my first language.",Guess he had better places to be.,equal,Sarcasm,Inky the Octopus,NA,NA
68,36,m,Completed High School,Near the bottom,"Yes, English is my first language.","I dunno, it looks like it only says the 24 ounce iced drinks, doesn't that include the weight of the ice?  And if everyone is found to have been taken advantage of, is only this woman going to benefit from a court decision?",more,Baseline,Starbucks Ice,NA,NA
68,36,m,Completed High School,Near the bottom,"Yes, English is my first language.","You know, I've heard these things can fit through the smallest of openings, and they're actually incredibly smart creatures.  I'm not surprised.",more,Sarcasm,Inky the Octopus,NA,NA
69,31,f,Four-year college degree,In the middle,"Yes, English is my first language.","Ah, if only I could be as gelatinous and cunning as Inky.",more,Sarcasm,Inky the Octopus,NA,NA
69,31,f,Four-year college degree,In the middle,"Yes, English is my first language.",You just wait until she starts to measure her sub sandwiches.,more,Baseline,Starbucks Ice,irony,hyperbole
70,23,m,Completed High School,In the middle,"Yes, English is my first language.",I would hate to be that octopus father!,equal,Sarcasm,Inky the Octopus,NA,NA
70,23,m,Completed High School,In the middle,"Yes, English is my first language.",She has way to much free time.,equal,Baseline,Starbucks Ice,NA,NA
71,28,f,Completed High School,Near the bottom,"Yes, English is my first language.",Woman upset over size of starbucks.,equal,Baseline,Starbucks Ice,NA,NA
72,45,f,Completed High School,In the middle,"Yes, English is my first language.",And that is why you don't ask for extra Ice.,more,Baseline,Starbucks Ice,NA,NA
73,27,m,Four-year college degree,In the middle,"Yes, English is my first language.","That doesn't sound that dangerous, I'm glad they're back out at sea.",less,Sarcasm,Inky the Octopus,NA,NA
73,27,m,Four-year college degree,In the middle,"Yes, English is my first language.","That's ridiculous, I don't think that she's getting ripped off when she wants a cold drink.",equal,Baseline,Starbucks Ice,NA,NA
74,58,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",Is Starbucks about to lose some bucks over iced drinks? A Chi-town woman says there is too much ice in their drinks. She only gets 14 ounces of liquid. Is this false advertizing ? She wants $5 million in compensation.,more,Baseline,Starbucks Ice,wp,bucks
74,58,f,Four-year college degree,Near the bottom,"Yes, English is my first language.","New Zealand Aquarium reports, Inky the Octopus is missing. They believed he may have lifted the top of his cage and slithered across the floor to a drain pipe. The pipe leads to the ocean. Could an Octopus concoct such a plan ??",equal,Sarcasm,Inky the Octopus,NA,NA
75,35,f,Four-year college degree,In the middle,"Yes, English is my first language.","Perhaps Inky the Octopus should have been in the circus, not an aquarium.",equal,Sarcasm,Inky the Octopus,NA,NA
76,56,f,Two-year college degree,In the middle,"Yes, English is my first language.","Wow, I wonder if she measured the ice that was in that drink also?",more,Baseline,Starbucks Ice,NA,NA
76,56,f,Two-year college degree,In the middle,"Yes, English is my first language.",Looks like the Coast Guard will need to get out the rescue boats.,less,Sarcasm,Inky the Octopus,NA,NA
77,34,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",That is 10 ounces of water in your coffee if you think about it!,more,Baseline,Starbucks Ice,NA,NA
78,55,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",Insane woman sues Starbucks over too much ice in her drink. How will she prove that she got too much ice..? Won't the evidence have melted before she gets the chance..?,more,Baseline,Starbucks Ice,NA,NA
78,55,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",Remember this the next time you weirdos order Octopus at a restaurant. It may just come out of the kitchen and choke you out before they can cook it!,more,Sarcasm,Inky the Octopus,NA,NA
79,27,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",We need to be evaluating if this could be happening in more dangerous wildlife exhibits such as those with lions or gorillas!,less,Sarcasm,Inky the Octopus,NA,NA
79,27,m,Two-year college degree,Near the bottom,"Yes, English is my first language.","Well, hey, some people are really passionate about getting what they pay for.",more,Baseline,Starbucks Ice,NA,NA
80,40,m,Four-year college degree,Near the bottom,"Yes, English is my first language.","A woman  Chicago is suing Starbucks for 5 million dollars, charging that their 24 ounce cups are served 10 ounces short. How full is your cup and how do you think this will turn out?",more,Baseline,Starbucks Ice,NA,NA
80,40,m,Four-year college degree,Near the bottom,"Yes, English is my first language.","The national aquarium of New Zeeland believes a slinky octopus named Inky opened his tank, slithered across to a 5 inch wide drainpipe and escaped to freedom in the sea. Do you think search and rescue is necessary, or should his escape be applauded?",more,Sarcasm,Inky the Octopus,NA,NA
81,30,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",Inky sure knows how to slide,less,Sarcasm,Inky the Octopus,NA,NA
81,30,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",Woman doesnt know her ounces,equal,Baseline,Starbucks Ice,NA,NA
82,57,f,Four-year college degree,In the middle,"Yes, English is my first language.","Wow... It's starting to be more and more difficult to refer to animals as ""dumb"" when you hear that type of story.",less,Sarcasm & Metaphor,Inky the Octopus,NA,NA
82,57,f,Four-year college degree,In the middle,"Yes, English is my first language.",She might want to keep her day job instead of counting on a big settlement.,more,Baseline,Starbucks Ice,NA,NA
83,33,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",It looks like an octopus from New Zealand wanted to take a swim.  It opened the lid for it's nice beach front aquarized home and left without turning off any of the lights!,more,Sarcasm & Metaphor,Inky the Octopus,NA,NA
83,33,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",A Chicago woman decides to sue Starbucks because they had too much ice and too little liquid in her drink.,more,Baseline,Starbucks Ice,NA,NA
84,58,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",This woman clearly has too much free time on her hands.,more,Baseline,Starbucks Ice,NA,NA
84,58,f,Four-year college degree,Near the bottom,"Yes, English is my first language.","This story could very well inspire a reboot of ""The Incredible Journey.""",more,Sarcasm & Metaphor,Inky the Octopus,compare,other animals
85,27,f,Four-year college degree,In the middle,"Yes, English is my first language.",Super intelligent Octopus on the move!,more,Sarcasm & Metaphor,Inky the Octopus,NA,NA
85,27,f,Four-year college degree,In the middle,"Yes, English is my first language.",Woman sues Starbucks over reality!,more,Baseline,Starbucks Ice,irony,analogy
86,28,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",This needs to be investigated further.,equal,Baseline,Starbucks Ice,NA,NA
86,28,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",This is not a newsworthy item.,less,Sarcasm & Metaphor,Inky the Octopus,NA,NA
87,34,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",You won't believe it but an octopus is believed to have escaped from the New Zealand aquarium and is now on the loose.,less,Sarcasm & Metaphor,Inky the Octopus,NA,NA
88,31,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Inky the Octupus perpetrated a daring escape using his eight legs to sneak out of an aquarium and out to sea to meet up with his friends and family.,more,Sarcasm & Metaphor,Inky the Octopus,compare,prisoner
88,31,m,Four-year college degree,Near the bottom,"Yes, English is my first language.","A Chicago woman sued Starbucks over the majority of her drink being ice, and it makes me wonder how she would feel about all the air in a bag of chips.",more,Baseline,Starbucks Ice,irony,hyperbole
89,36,m,Four-year college degree,In the middle,"Yes, English is my first language.",A great escape - good luck to him!,equal,Sarcasm & Metaphor,Inky the Octopus,NA,NA
89,36,m,Four-year college degree,In the middle,"Yes, English is my first language.","I know Starbucks is expensive, but $5 million is pushing it.",more,Baseline,Starbucks Ice,NA,NA
90,38,f,Four-year college degree,In the middle,"Yes, English is my first language.",I wonder if Inky has a hot date back at sea.,more,Sarcasm & Metaphor,Inky the Octopus,compare,date
90,38,f,Four-year college degree,In the middle,"Yes, English is my first language.",$5 millions dollars? That should cover the cost of a few latte's!,more,Baseline,Starbucks Ice,irony,hyperbole
